City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
146,ilesha,92,NG,1537865336,82,7.14,5.26,80.53,4.32
147,norden,40,DE,1537863900,76,53.59,7.21,53.6,10.29
148,bisira,92,PA,1537865337,98,8.52,-81.71,68.29,2.04
149,fortuna,40,ES,1537864200,74,38.18,-1.13,78.8,8.05
150,laizhou,80,CN,1537865337,70,37.18,119.93,71.17,6.06
151,pierre,90,US,1537861980,100,44.37,-100.35,48.92,9.01
152,carnarvon,80,ZA,1537865338,15,-30.97,22.13,77.11,21.72
153,inhambane,20,MZ,1537862400,58,-23.87,35.38,82.4,9.17
154,pfullendorf,0,DE,1537863600,66,47.92,9.25,50.0,14.99
155,crotone,20,IT,1537861800,49,39.09,17.12,68.0,29.97
156,pedernales,100,EC,1537865339,90,0.07,-80.05,71.62,4.32
157,moranbah,24,AU,1537865339,44,-22.0,148.04,73.24,11.77
158,nanortalik,0,GL,1537865340,98,60.14,-45.24,37.24,22.62
159,sohag,0,EG,1537865341,46,26.55,31.7,87.91,13.15
160,loiza,75,PR,1537862160,93,18.43,-65.88,80.96,3.36
161,kerrobert,20,CA,1537862400,93,51.92,-109.14,35.6,12.75
162,lerwick,20,GB,1537863600,81,60.15,-1.15,53.6,17.22
163,ballina,75,IE,1537862400,93,54.11,-9.15,46.4,18.34
164,sulangan,44,PH,1537865343,97,11.14,123.72,85.3,17.29
165,kavieng,80,PG,1537865343,100,-2.57,150.8,83.23,12.88
166,eureka,1,US,1537864500,76,40.8,-124.16,55.4,13.87
167,yakeshi,0,CN,1537865344,80,49.28,120.73,54.34,3.04
168,mitsamiouli,75,KM,1537862400,65,-11.38,43.28,80.6,6.93
169,lafiagi,88,NG,1537865345,98,8.85,5.42,77.74,4.99
170,elko,1,US,1537862160,16,40.83,-115.76,41.0,4.7
171,hutchinson,1,US,1537863480,100,38.06,-97.93,64.94,4.7
172,nago,0,IT,1537863600,31,45.88,10.89,64.4,9.17
173,rundu,0,NA,1537865346,16,-17.91,19.77,92.77,11.14
174,cayenne,20,GF,1537862400,100,4.94,-52.33,73.4,1.12
175,georgetown,20,GY,1537862400,100,6.8,-58.16,73.4,4.7
176,steubenville,90,US,1537863420,93,40.37,-80.63,66.02,11.41
177,pevek,80,RU,1537865347,100,69.7,170.27,35.53,12.03
178,anyang,92,CN,1537865347,97,36.1,114.34,61.09,5.1
179,port hedland,0,AU,1537864200,31,-20.31,118.58,89.6,13.87
180,saint george,75,GR,1537863600,45,39.45,22.34,64.4,18.34
181,parrita,56,CR,1537865348,100,9.52,-84.33,75.67,3.83
182,high level,90,CA,1537862400,74,58.52,-117.13,33.8,2.24
183,miandrivazo,0,MG,1537865349,35,-19.53,45.46,90.79,3.98
184,aswan,0,EG,1537862400,18,24.09,32.9,96.8,11.41
185,leningradskiy,76,RU,1537865349,99,69.38,178.42,38.95,12.44
186,villaviciosa,0,ES,1537864200,67,43.48,-5.43,60.8,6.93
187,malm,75,NO,1537863600,81,64.07,11.22,50.0,17.22
188,padang,20,ID,1537865350,100,-0.92,100.36,81.25,4.38
189,codrington,68,AU,1537865351,91,-28.95,153.24,55.24,2.59
190,goderich,92,CA,1537865351,96,43.74,-81.71,64.24,21.72
191,brilon,0,DE,1537863600,81,51.4,8.57,55.4,3.36
192,kontagora,36,NG,1537865352,100,10.4,5.47,79.36,5.84
193,beringovskiy,0,RU,1537865352,100,63.05,179.32,40.93,6.22
194,lata,68,IN,1537865352,100,30.78,78.62,60.73,0.29
195,kondopoga,75,RU,1537862400,81,62.21,34.27,42.8,11.18
196,ivesti,0,RO,1537865207,71,45.68,27.52,58.3,11.43
197,lasa,20,CY,1537864200,74,34.92,32.53,84.2,14.99
198,katsuura,75,JP,1537862400,73,33.93,134.5,71.6,4.7
199,tucuman,0,PE,1537865354,65,-17.17,-70.89,46.78,2.19
200,chanika,0,MW,1537865354,57,-12.93,34.19,81.07,6.85
201,hasaki,75,JP,1537863180,93,35.73,140.83,66.2,12.75
202,hay river,20,CA,1537862400,64,60.82,-115.79,35.6,8.05
203,vila franca do campo,20,PT,1537864200,83,37.72,-25.43,69.8,6.93
204,skeldon,32,GY,1537865355,100,5.88,-57.13,80.53,5.84
205,lompoc,75,US,1537864500,93,34.64,-120.46,60.98,3.98
206,anderson,90,US,1537864500,100,34.51,-82.65,69.98,4.7
207,guerrero negro,0,MX,1537865356,100,27.97,-114.04,64.51,8.86
208,belyy yar,0,RU,1537862400,45,53.6,91.39,62.6,8.95
209,mount gambier,0,AU,1537865167,66,-37.83,140.78,50.92,5.55
210,ketchikan,40,US,1537863300,96,55.34,-131.65,53.96,4.32
211,aklavik,90,CA,1537862400,92,68.22,-135.01,26.6,3.36
